condition,seed,method,scene,auc,cnr,n_target,n_bg,n_valid,file
100k_1mm,42,mlsd_median,u_void_concrete,0.8586430962843392,0.8542440251338752,648,1652,2300,100k_1mm/seed_42/mlsd_median/u_void_concrete.npz
100k_1mm,42,namt_3p,u_pb_soil,0.9999686060292121,11.327414712254765,648,1573,2221,100k_1mm/seed_42/namt_3p/u_pb_soil.npz
100k_1mm,42,namt_3p,u_pb_concrete,0.9999737118822293,12.695296635150203,648,1585,2233,100k_1mm/seed_42/namt_3p/u_pb_concrete.npz
100k_1mm,42,namt_3p,u_explosive_soil,0.8947218489442126,1.8166109396412107,648,1571,2219,100k_1mm/seed_42/namt_3p/u_explosive_soil.npz
100k_1mm,42,namt_3p,u_explosive_concrete,0.9294848980947635,2.2057749307013466,648,1561,2209,100k_1mm/seed_42/namt_3p/u_explosive_concrete.npz
100k_1mm,42,namt_3p,u_void_soil,0.9720442736137803,3.077888590622686,648,1561,2209,100k_1mm/seed_42/namt_3p/u_void_soil.npz
100k_1mm,42,namt_3p,u_void_concrete,0.9713202051817075,3.290750256016932,648,1562,2210,100k_1mm/seed_42/namt_3p/u_void_concrete.npz
100k_1mm,42,namt_4p,u_pb_soil,0.9999862651377803,13.466795477827604,648,1573,2221,100k_1mm/seed_42/namt_4p/u_pb_soil.npz
100k_1mm,42,namt_4p,u_pb_concrete,0.9999445028624839,12.485980457894707,648,1585,2233,100k_1mm/seed_42/namt_4p/u_pb_concrete.npz
100k_1mm,42,namt_4p,u_explosive_soil,0.8730167149963458,1.5967986013597044,648,1571,2219,100k_1mm/seed_42/namt_4p/u_explosive_soil.npz
